username,repo_name,stars,repo_url
bitcoin,bitcoin,65400,http://github.com/bitcoin/bitcoin
ccxt,ccxt,25200,http://github.com/ccxt/ccxt
freqtrade,freqtrade,18700,http://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17600,http://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9900,http://github.com/askmike/gekko
bbfamily,abu,9200,http://github.com/bbfamily/abu
solana-labs,solana,9100,http://github.com/solana-labs/solana
lbryio,lbry-sdk,7100,http://github.com/lbryio/lbry-sdk
dvf,blockchain,7000,http://github.com/dvf/blockchain
lightningnetwork,lnd,6200,http://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6200,http://github.com/yeasy/blockchain_guide
spesmilo,electrum,5800,http://github.com/spesmilo/electrum
butor,blackbird,5600,http://github.com/butor/blackbird
btcsuite,btcd,4900,http://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4700,http://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4400,http://github.com/bitcoinj/bitcoinj
CryptoSignal,Crypto-Signal,4100,http://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4000,http://github.com/bisq-network/bisq
jesse-ai,jesse,4000,http://github.com/jesse-ai/jesse
coinpride,CryptoList,3800,http://github.com/coinpride/CryptoList
michaelgrosner,tribeca,3700,http://github.com/michaelgrosner/tribeca
Scanate,EthList,3700,http://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3700,http://github.com/RomelTorres/alpha_vantage
btcpayserver,btcpayserver,3700,http://github.com/btcpayserver/btcpayserver
Zheaoli,awesome-coins,3600,http://github.com/Zheaoli/awesome-coins
bitpay,wallet,3500,http://github.com/bitpay/wallet
Jeiwan,blockchain_go,3500,http://github.com/Jeiwan/blockchain_go
cointop-sh,cointop,3300,http://github.com/cointop-sh/cointop
SqueezerIO,squeezer,3300,http://github.com/SqueezerIO/squeezer
bitcoin-wallet,bitcoin-wallet,2900,http://github.com/bitcoin-wallet/bitcoin-wallet
